ID,Kategorie,Bereich,KoSch M2.2,Pixel / Android 17,Nova 8 / 8.1 Beta,Niagara 1.x,Smart Launcher 6.6,Microsoft Launcher,Lawnchair 15 Beta 3,Führend,KoSch_Lücke_zur_Spitze
C01,Erster visueller Eindruck,UX,8.4,8.6,8.1,9.3,8.8,8.0,8.3,Niagara 1.x,0.9
C02,Onboarding-Qualität,UX,8.4,8.2,7.7,8.0,8.0,8.1,7.0,KoSch M2.2,0.0
C03,Time-to-Value,UX,8.2,9.3,8.4,9.0,8.6,7.5,8.5,Pixel / Android 17,1.1
C04,Interaktionsklarheit,UX,7.8,9.0,8.2,9.2,8.5,8.0,8.0,Niagara 1.x,1.4
C05,Visuelle Kohärenz,UX,8.2,9.4,8.2,9.5,9.0,8.5,8.6,Niagara 1.x,1.3
C06,Kleine Displays,UX,6.9,9.1,8.5,9.3,8.8,8.0,8.7,Niagara 1.x,2.4
C07,Tablet/Foldable/Landscape,UX,7.2,8.3,7.8,7.0,8.2,7.5,8.0,Pixel / Android 17,1.1
C08,Semantische Accessibility,UX,6.2,9.1,7.8,8.5,8.0,8.2,7.5,Pixel / Android 17,2.9
C09,Kontrast und Lesbarkeit,UX,7.7,9.3,8.4,9.0,8.8,8.5,8.5,Pixel / Android 17,1.6
C10,Reduced Motion und Bewegung,UX,7.3,9.0,8.2,8.8,8.3,8.0,8.0,Pixel / Android 17,1.7
C11,App-Entdeckung,Launcher,7.8,8.8,9.0,9.4,9.1,8.5,9.0,Niagara 1.x,1.6
C12,App-Start-Zuverlässigkeit,Launcher,7.9,9.7,9.2,9.3,9.2,9.0,8.2,Pixel / Android 17,1.8
C13,Suchrelevanz,Launcher,7.3,9.2,8.7,9.0,9.0,8.0,8.7,Pixel / Android 17,1.9
C14,Smart Collections,Launcher,7.6,6.8,9.0,8.2,9.7,8.5,8.0,Smart Launcher 6.6,2.1
C15,Zuletzt verwendet,Launcher,7.2,8.7,8.6,8.8,8.7,9.0,8.5,Microsoft Launcher,1.8
C16,Workspace-Anpassung,Launcher,7.2,6.8,9.6,7.0,9.2,8.5,9.5,Nova 8 / 8.1 Beta,2.4
C17,Ordner,Launcher,6.4,7.6,9.3,9.2,9.1,8.8,8.8,Nova 8 / 8.1 Beta,2.9
C18,Mehrere Seiten und Dock,Launcher,7.0,8.7,9.5,5.2,9.3,8.8,9.0,Nova 8 / 8.1 Beta,2.5
C19,App-Shortcuts,Launcher,7.1,9.5,9.2,9.0,9.0,8.0,9.0,Pixel / Android 17,2.4
C20,Widget Hosting,Launcher,6.2,9.1,9.2,9.2,9.3,8.5,9.0,Smart Launcher 6.6,3.1
C21,Widget Resize/Restore/Undo,Launcher,4.2,8.8,9.0,8.8,8.8,8.0,8.5,Nova 8 / 8.1 Beta,4.8
C22,Notification Dots/Badges,Launcher,6.3,9.2,8.8,9.2,8.7,8.0,3.0,Pixel / Android 17 / Niagara 1.x,2.9
C23,Wallpaper- und Theme-System,Launcher,5.8,8.7,9.6,8.0,9.0,8.2,9.4,Nova 8 / 8.1 Beta,3.8
C24,Backup und Migration,Launcher,5.2,8.7,9.4,8.0,9.0,9.0,7.5,Nova 8 / 8.1 Beta,4.2
C25,Sicherer Launcher-Wechsel,Launcher,9.1,8.2,7.5,7.2,7.3,7.5,7.5,KoSch M2.2,0.0
C26,Telefon-Einstieg,System,7.5,7.0,4.0,3.5,3.5,6.5,3.0,KoSch M2.2,0.0
C27,Kontakte-Integration,System,1.2,6.5,1.0,1.0,1.0,8.0,1.0,Microsoft Launcher,6.8
C28,Sichere Dateiauswahl,System,9.0,7.5,3.0,2.5,2.5,8.0,2.0,KoSch M2.2,0.0
C29,Nutzen der Datei-Intelligenz,System,5.6,4.0,1.0,1.0,1.0,3.0,1.0,KoSch M2.2,0.0
C30,System-Kontrollzentrum,System,7.8,7.8,4.5,3.5,4.0,5.0,3.0,KoSch M2.2 / Pixel / Android 17,0.0
C31,Spracheingabe,System,6.0,8.4,5.0,4.5,4.5,5.5,3.5,Pixel / Android 17,2.4
C32,Offline-Kern,AI,9.3,7.8,7.5,8.2,8.0,5.0,9.0,KoSch M2.2,0.0
C33,Ohne Konto oder API,AI,9.5,7.2,7.0,8.0,7.5,6.0,9.5,KoSch M2.2 / Lawnchair 15 Beta 3,0.0
C34,Lokale Open-Source-Auswahl,AI,8.2,3.0,2.5,2.0,2.0,2.0,9.5,Lawnchair 15 Beta 3,1.3
C35,Integriertes generatives Modell,AI,1.3,3.5,2.0,1.0,1.5,3.5,1.0,Pixel / Android 17 / Microsoft Launcher,2.2
C36,KI-Befehlsabdeckung,AI,6.9,6.0,6.0,4.5,6.5,5.5,3.0,KoSch M2.2,0.0
C37,Grounding von KI-Aktionen,AI,8.1,8.0,6.8,7.5,6.0,7.0,8.0,KoSch M2.2,0.0
C38,Kontextbewusstsein,AI,6.7,8.6,7.0,7.8,7.0,8.8,6.0,Microsoft Launcher,2.1
C39,Lernen und Personalisierung,AI,3.2,7.7,7.5,7.0,8.0,8.5,6.0,Microsoft Launcher,5.3
C40,Halluzinationsbegrenzung,AI,8.8,7.8,7.0,8.3,8.0,7.0,9.0,Lawnchair 15 Beta 3,0.2
C41,Datenminimierung,Security,9.1,7.0,6.5,6.8,6.5,5.5,8.5,KoSch M2.2,0.0
C42,Berechtigungsminimierung,Security,8.9,8.6,7.5,7.2,7.5,6.0,8.0,KoSch M2.2,0.0
C43,Secret-Vault-Grundlage,Security,6.8,8.8,7.0,6.5,7.0,8.5,7.0,Pixel / Android 17,2.0
C44,Netzwerksicherheit,Security,8.7,9.2,8.0,8.0,8.0,8.5,8.0,Pixel / Android 17,0.5
C45,Prompt-Injection-Abwehr,Security,4.5,7.7,6.0,7.0,6.5,6.0,9.0,Lawnchair 15 Beta 3,4.5
C46,Schutz vor destruktiven Aktionen,Security,8.9,9.0,8.0,8.2,8.0,8.0,8.5,Pixel / Android 17,0.1
C47,Architektur und Modularität,Engineering,7.7,9.6,8.8,8.5,8.5,8.5,8.0,Pixel / Android 17,1.9
C48,Testabdeckung,Engineering,5.9,9.5,8.5,8.0,8.0,8.5,7.0,Pixel / Android 17,3.6
C49,Build-Reproduzierbarkeit,Engineering,8.0,4.0,3.5,3.5,3.5,3.0,9.4,Lawnchair 15 Beta 3,1.4
C50,Gemessene Laufzeitperformance,Engineering,3.8,9.6,8.8,9.0,8.7,8.3,7.5,Pixel / Android 17,5.8
C51,Crash Recovery,Engineering,7.0,9.5,8.8,8.7,8.6,8.0,6.5,Pixel / Android 17,2.5
C52,OEM-Kompatibilität,Engineering,5.0,8.5,8.0,7.8,7.8,8.0,7.0,Pixel / Android 17,3.5
C53,Akku- und Energieeffizienz,Engineering,6.2,9.1,8.3,8.7,8.2,7.5,7.7,Pixel / Android 17,2.9
C54,Observability und Audit,Engineering,1.8,6.0,5.5,5.0,5.2,7.0,7.0,Microsoft Launcher / Lawnchair 15 Beta 3,5.2
C55,Privacy-Kommunikation,Security,9.1,7.2,7.0,7.2,7.0,7.5,7.5,KoSch M2.2,0.0
C56,Lokalisierung,UX,4.2,9.5,8.8,8.5,8.5,9.0,8.5,Pixel / Android 17,5.3
C57,Wettbewerbsdifferenzierung,Product,8.7,7.0,8.6,9.2,8.8,7.8,7.5,Niagara 1.x,0.5
C58,Produktionsreife,Product,4.9,9.6,9.0,9.0,8.8,8.8,6.8,Pixel / Android 17,4.7
C59,Play-Policy-Readiness,Product,7.0,9.8,8.8,8.8,8.5,9.0,7.5,Pixel / Android 17,2.8
C60,Wartbarkeit,Engineering,7.6,9.0,8.4,8.3,8.2,8.0,7.5,Pixel / Android 17,1.4
C61,Smartpen-Erkennung und Gerätewechsel,System,8.6,8.8,2.0,2.5,2.5,2.5,3.5,Pixel / Android 17,0.2
C62,"Druck, Neigung, Hover und Radierer",System,8.3,9.2,1.5,1.5,1.5,1.5,2.5,Pixel / Android 17,0.9
C63,Integrierter Pen-Workspace,Launcher,8.5,5.0,1.5,1.0,1.2,1.5,2.0,KoSch M2.2,0.0
C64,Systemhandschrift und IME-Integration,System,7.2,9.0,6.8,6.5,6.5,6.8,6.8,Pixel / Android 17,1.8
C65,In-App FAQ und Self-Service,Product,8.6,8.5,6.5,9.0,8.5,8.2,7.5,Niagara 1.x,0.4
